epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9074,5.00629,16.1988,3.66674,0,0,0,0,2.76761,5.92181,2.32464,0,0,0
2,30.5094,5.30288,12.7996,4.099,0,0,0,0,2.76761,5.92181,2.32464,0.0001,0.0001,0.0001
3,44.2998,3.79024,7.73155,3.48757,0,0,0,0,2.76761,5.92181,2.32464,0.000198,0.000198,0.000198
4,58.6048,5.36838,13.4127,3.91059,0,0,0,0,2.79175,5.87914,2.35177,0.000294001,0.000294001,0.000294001
5,73.3031,3.30181,6.83521,2.79549,0,0,0,0,2.79175,5.87914,2.35177,0.000291001,0.000291001,0.000291001
6,88.3756,0,40.3642,0,0,0,0,0,2.79175,5.87914,2.35177,0.000288001,0.000288001,0.000288001
7,102.857,3.40186,8.71181,2.38118,0,0,0,0,2.82893,5.96423,2.38635,0.000285002,0.000285002,0.000285002
8,116.914,3.15266,9.02973,2.11574,0,0,0,0,2.82893,5.96423,2.38635,0.000282002,0.000282002,0.000282002
9,131.329,2.7768,6.37505,2.40989,0,0,0,0,2.82893,5.96423,2.38635,0.000279002,0.000279002,0.000279002
10,145.696,2.7953,6.3692,2.04835,0,0,0,0,2.81921,5.99487,2.3854,0.000276003,0.000276003,0.000276003
11,160.087,2.53276,6.82543,1.77597,0,0,0,0,2.81921,5.99487,2.3854,0.000273003,0.000273003,0.000273003
12,175.394,2.73469,7.54336,1.78697,0,0,0,0,2.81921,5.99487,2.3854,0.000270003,0.000270003,0.000270003
13,189.766,3.42983,6.34668,2.2791,0,0,0,0,2.89994,6.02026,2.41157,0.000267004,0.000267004,0.000267004
14,203.953,2.53839,5.68345,1.77233,0,0,0,0,2.89994,6.02026,2.41157,0.000264004,0.000264004,0.000264004
15,218.186,2.00436,6.59272,1.60023,0,0,0,0,2.89994,6.02026,2.41157,0.000261004,0.000261004,0.000261004
16,232.79,2.49682,5.65987,1.74915,0,0,0,0,2.90475,6.01088,2.4105,0.000258004,0.000258004,0.000258004
17,249.016,3.26826,5.88383,2.10598,0,0,0,0,2.90475,6.01088,2.4105,0.000255005,0.000255005,0.000255005
18,264.126,2.13003,6.60551,1.93723,0,0,0,0,2.90475,6.01088,2.4105,0.000252005,0.000252005,0.000252005
19,279.238,2.15005,6.47705,1.63529,0,0,0,0,2.90336,6.00439,2.37629,0.000249005,0.000249005,0.000249005
20,294.438,2.87725,7.1916,1.67339,0,0,0,0,2.90336,6.00439,2.37629,0.000246006,0.000246006,0.000246006
21,309.244,2.15016,5.45835,1.86767,0,0,0,0,2.90336,6.00439,2.37629,0.000243006,0.000243006,0.000243006
22,323.626,0,39.5544,0,0,0,0,0,2.90386,5.97057,2.37192,0.000240006,0.000240006,0.000240006
23,338.175,0,39.3735,0,0,0,0,0,2.90386,5.97057,2.37192,0.000237007,0.000237007,0.000237007
24,352.934,3.31703,4.90816,2.16631,0,0,0,0,2.90386,5.97057,2.37192,0.000234007,0.000234007,0.000234007
25,367.324,2.38622,6.47215,1.74105,0,0,0,0,2.92914,5.96817,2.35822,0.000231007,0.000231007,0.000231007
26,381.575,2.62221,4.89321,2.00024,0,0,0,0,2.92914,5.96817,2.35822,0.000228007,0.000228007,0.000228007
27,396.149,2.25059,5.04521,1.70446,0,0,0,0,2.92914,5.96817,2.35822,0.000225008,0.000225008,0.000225008
28,410.219,1.98553,5.99471,1.68348,0,0,0,0,2.8769,5.9226,2.34357,0.000222008,0.000222008,0.000222008
29,424.812,2.36549,4.17853,1.72746,0,0,0,0,2.8769,5.9226,2.34357,0.000219008,0.000219008,0.000219008
30,439.21,2.07049,5.93689,1.9652,0,0,0,0,2.8769,5.9226,2.34357,0.000216009,0.000216009,0.000216009
31,453.546,2.38272,4.84174,2.02181,0,0,0,0,2.86218,5.90139,2.32937,0.000213009,0.000213009,0.000213009
32,468.337,2.56613,4.2908,1.8833,0,0,0,0,2.86218,5.90139,2.32937,0.000210009,0.000210009,0.000210009
33,482.892,2.19314,4.05364,1.83745,0,0,0,0,2.86218,5.90139,2.32937,0.00020701,0.00020701,0.00020701
34,497.391,2.58362,6.45688,2.21089,0,0,0,0,2.84383,5.86435,2.29803,0.00020401,0.00020401,0.00020401
35,511.37,2.25914,4.55726,2.18336,0,0,0,0,2.84383,5.86435,2.29803,0.00020101,0.00020101,0.00020101
36,526.05,3.12373,3.45118,2.07499,0,0,0,0,2.84383,5.86435,2.29803,0.00019801,0.00019801,0.00019801
37,540.998,1.87345,4.18165,1.51115,0,0,0,0,2.81065,5.83303,2.26621,0.000195011,0.000195011,0.000195011
38,555.736,3.32331,4.5655,2.13386,0,0,0,0,2.81065,5.83303,2.26621,0.000192011,0.000192011,0.000192011
39,570.102,2.03595,6.44413,1.47798,0,0,0,0,2.81065,5.83303,2.26621,0.000189011,0.000189011,0.000189011
40,584.535,2.31084,3.50367,1.64585,0,0,0,0,2.77774,5.84298,2.23127,0.000186012,0.000186012,0.000186012
41,598.818,2.85394,4.73812,2.09058,0,0,0,0,2.77774,5.84298,2.23127,0.000183012,0.000183012,0.000183012
42,613.405,2.75792,3.965,1.87201,0,0,0,0,2.77774,5.84298,2.23127,0.000180012,0.000180012,0.000180012
43,627.534,1.77556,5.2273,1.89336,0,0,0,0,2.7613,5.81859,2.22376,0.000177013,0.000177013,0.000177013
44,642.041,2.37879,3.89978,1.56644,0,0,0,0,2.7613,5.81859,2.22376,0.000174013,0.000174013,0.000174013
